"PlantID","long","lat"
"Fe.10.5",-80.41118,43.72871
"Fe.10.6",-80.41118,43.72871
"Fe.10.7",-80.41118,43.72871
"Fe.10.8",-80.41118,43.72871
"Fe.10.9",-80.41118,43.72871
"Fe.10.10",-80.41118,43.72871
"Fe.11.1",-80.4188,43.73421
"Fe.11.2",-80.4188,43.73421
"Fe.11.3",-80.4188,43.73421
"Fe.11.4",-80.4188,43.73421
"Fe.11.5",-80.4188,43.73421
"Fe.11.6",-80.4188,43.73421
"Fe.11.7",-80.4188,43.73421
"Fe.11.8",-80.4188,43.73421
"Fe.11.9",-80.4188,43.73421
"Fe.11.10",-80.4188,43.73421
"Fe.12.1",-80.42235,43.73675
"Fe.12.2",-80.42235,43.73675
"Fe.12.3",-80.42235,43.73675
"Fe.12.4",-80.42235,43.73675
"Fe.12.5",-80.42235,43.73675
"Fe.12.6",-80.42235,43.73675
"Fe.12.7",-80.42235,43.73675
"Fe.12.8",-80.42235,43.73675
"Fe.12.9",-80.42235,43.73675
"Fe.12.10",-80.42235,43.73675
"Fe.13.1",-80.43719,43.74732
"Fe.13.2",-80.43719,43.74732
"Fe.13.3",-80.43719,43.74732
"Fe.13.4",-80.43719,43.74732
"Fe.13.5",-80.43719,43.74732
"Fe.13.6",-80.43719,43.74732
"Fe.13.7",-80.43719,43.74732
"Fe.13.8",-80.43719,43.74732
"Fe.13.9",-80.43719,43.74732
"Fe.13.10",-80.43719,43.74732
"Fe.14.1",-80.44893,43.75212
"Fe.14.2",-80.44893,43.75212
"Fe.14.3",-80.44893,43.75212
"Fe.14.4",-80.44893,43.75212
"Fe.14.5",-80.44893,43.75212
"Fe.14.6",-80.44893,43.75212
"Fe.14.7",-80.44893,43.75212
"Fe.14.8",-80.44893,43.75212
"Fe.14.9",-80.44893,43.75212
"Fe.14.10",-80.44893,43.75212
"Fe.15.1",-80.45223,43.75594
"Fe.15.2",-80.45223,43.75594
"Fe.15.3",-80.45223,43.75594
"Fe.15.4",-80.45223,43.75594
"Fe.15.5",-80.45223,43.75594
"Fe.15.6",-80.45223,43.75594
"Fe.15.7",-80.45223,43.75594
"Fe.15.8",-80.45223,43.75594
"Fe.15.9",-80.45223,43.75594
"Fe.15.10",-80.45223,43.75594
