city,Site,cy,plant_dens,dist,std_dist,pop,area,pop_dens,dwellings,dwell_dens
Brantford,Brt5,0.388888889,1,1.16,0.099022005,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt6,0.25,7.4,1.56,0.14792176,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt7,0.2,0,1.81,0.178484108,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt8,0.047619048,4.4,2.09,0.212713936,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt9,0.363636364,3.8,2.4,0.250611247,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt10,0.25,0,2.62,0.277506112,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt11,0.428571429,0,3.04,0.328850856,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt12,0.368421053,3.4,3.27,0.356968215,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt13,0.142857143,8,3.56,0.392420538,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt14,0.173913043,8.4,3.96,0.441320293,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt15,0.666666667,11.2,4.22,0.473105134,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt16,0.238095238,11.4,4.46,0.502444988,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt17,0.352941176,3.6,4.83,0.547677262,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt18,0.260869565,24.4,5.25,0.599022005,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt19,0.333333333,10.8,5.34,0.61002445,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt20,0.555555556,2.4,5.62,0.644254279,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt21,0.380952381,14.2,5.88,0.67603912,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt22,0.391304348,5,6.24,0.7200489,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt23,0.3,23.4,6.78,0.78606357,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt24,0.2,15.8,7.06,0.820293399,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt25,0.2,0.4,7.49,0.872860636,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt26,0.526315789,5,7.93,0.926650367,135501,1073.11,126.3,52726,49.13382598
Brantford,Brt27,0.333333333,2.6,8.53,1,135501,1073.11,126.3,52726,49.13382598
Cobourg,Co1,0.15,5.2,0.3,0,18519,22.37,827.8,8047,359.7228431
Cobourg,Co2,0.25,17.2,0.46,0.025723473,18519,22.37,827.8,8047,359.7228431
Cobourg,Co3,0.75,14,0.68,0.061093248,18519,22.37,827.8,8047,359.7228431
Cobourg,Co4,0.35,4.2,0.86,0.090032154,18519,22.37,827.8,8047,359.7228431
Cobourg,Co5,0.15,12.4,1,0.112540193,18519,22.37,827.8,8047,359.7228431
Cobourg,Co6,0.2,10,1.25,0.152733119,18519,22.37,827.8,8047,359.7228431
Cobourg,Co7,0.05,13.4,1.47,0.188102894,18519,22.37,827.8,8047,359.7228431
Cobourg,Co8,0.15,20,1.65,0.217041801,18519,22.37,827.8,8047,359.7228431
Cobourg,Co9,0.15,18,1.81,0.242765273,18519,22.37,827.8,8047,359.7228431
Cobourg,Co10,0.1,8.6,2.05,0.281350482,18519,22.37,827.8,8047,359.7228431
Cobourg,Co11,0.1,14.8,2.26,0.31511254,18519,22.37,827.8,8047,359.7228431
Cobourg,Co12,0.25,10,2.47,0.348874598,18519,22.37,827.8,8047,359.7228431
Cobourg,Co13,0.05,11,2.66,0.379421222,18519,22.37,827.8,8047,359.7228431
Cobourg,Co14,0.15,11.4,2.85,0.409967846,18519,22.37,827.8,8047,359.7228431
Cobourg,Co15,0.1,20.2,2.95,0.426045016,18519,22.37,827.8,8047,359.7228431
Cobourg,Co16,0.1,20.6,3.34,0.488745981,18519,22.37,827.8,8047,359.7228431
Cobourg,Co17,0.315789474,9.6,3.5,0.514469453,18519,22.37,827.8,8047,359.7228431
Cobourg,Co18,0.05,13.4,3.79,0.561093248,18519,22.37,827.8,8047,359.7228431
Cobourg,Co19,0.05,15.4,4.07,0.606109325,18519,22.37,827.8,8047,359.7228431
Cobourg,Co20,0.25,11.4,4.33,0.647909968,18519,22.37,827.8,8047,359.7228431
Cobourg,Co21,0.2,10.8,4.73,0.71221865,18519,22.37,827.8,8047,359.7228431
Cobourg,Co22,0.3,15.8,5.15,0.779742765,18519,22.37,827.8,8047,359.7228431
Cobourg,Co23,0.35,21,5.4,0.819935691,18519,22.37,827.8,8047,359.7228431
Cobourg,Co24,0.45,15.6,5.7,0.868167203,18519,22.37,827.8,8047,359.7228431
Cobourg,Co25,0.333333333,4.8,5.98,0.91318328,18519,22.37,827.8,8047,359.7228431
Cobourg,Co26,0.2,10.6,6.33,0.969453376,18519,22.37,827.8,8047,359.7228431
Cobourg,Co27,0,20.2,6.52,1,18519,22.37,827.8,8047,359.7228431
Elmira,Elm9,0.222222222,5,0.43,0,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm6,0.222222222,0,0.47,0.017021277,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm7,0.4,5,0.5,0.029787234,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm8,0.421052632,2.4,0.51,0.034042553,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm5,0.6,5,0.56,0.055319149,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm4,0.210526316,8.8,0.62,0.080851064,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm10,0.529411765,2.4,0.63,0.085106383,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm3,0.428571429,2,0.7,0.114893617,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm11,0.277777778,3.8,0.77,0.144680851,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm2,0.857142857,2.8,0.87,0.187234043,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm12,0.578947368,11.6,1.03,0.255319149,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm1,0.4,4.6,1.06,0.268085106,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm13,0.25,15.2,1.16,0.310638298,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm14,0.3,9.6,1.33,0.382978723,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm15,0.411764706,0,1.53,0.468085106,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm16,0.368421053,21.2,1.63,0.510638298,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm17,0.2,19,1.88,0.617021277,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm18,0.411764706,8.6,2.1,0.710638298,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm19,0.380952381,0.6,2.52,0.889361702,9931,9.46,1049.9,3713,392.4947146
Elmira,Elm20,0.285714286,5.2,2.78,1,9931,9.46,1049.9,3713,392.4947146
Everett,Ev3,0.3,12.4,0.04,0,1645,1.48,1109.4,537,362.8378378
Everett,Ev2,0.3,6.4,0.12,0.015473888,1645,1.48,1109.4,537,362.8378378
Everett,Ev4,0.1,5,0.24,0.03868472,1645,1.48,1109.4,537,362.8378378
Everett,Ev1,0.25,10.4,0.3,0.050290135,1645,1.48,1109.4,537,362.8378378
Everett,Ev5,0.15,5,0.35,0.059961315,1645,1.48,1109.4,537,362.8378378
Everett,Ev6,0.3,0,0.51,0.090909091,1645,1.48,1109.4,537,362.8378378
Everett,Ev7,0.25,5.8,0.71,0.12959381,1645,1.48,1109.4,537,362.8378378
Everett,Ev8,0.294117647,0.2,0.94,0.174081238,1645,1.48,1109.4,537,362.8378378
Everett,Ev9,0.5,8.4,1.01,0.18762089,1645,1.48,1109.4,537,362.8378378
Everett,Ev10,0,21.4,1.19,0.222437137,1645,1.48,1109.4,537,362.8378378
Everett,Ev11,0.25,9.8,1.31,0.245647969,1645,1.48,1109.4,537,362.8378378
Everett,Ev12,0.25,7.2,1.66,0.313346228,1645,1.48,1109.4,537,362.8378378
Everett,Ev13,0.15,7.4,1.81,0.342359768,1645,1.48,1109.4,537,362.8378378
Everett,Ev14,0.2,11.4,2.59,0.493230174,1645,1.48,1109.4,537,362.8378378
Everett,Ev15,0.25,7.8,2.68,0.510638298,1645,1.48,1109.4,537,362.8378378
Everett,Ev19,0.368421053,6,3.15,0.601547389,1645,1.48,1109.4,537,362.8378378
Everett,Ev20,0.5,15.2,3.44,0.657640232,1645,1.48,1109.4,537,362.8378378
Everett,Ev16,0.45,14.6,4.87,0.934235977,1645,1.48,1109.4,537,362.8378378
Everett,Ev17,0.35,9,5.14,0.986460348,1645,1.48,1109.4,537,362.8378378
Everett,Ev18,0.25,12.8,5.21,1,1645,1.48,1109.4,537,362.8378378
Fergus,Fe 1,0.2,10.8,0.08,0,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 2,0.4,7.6,0.09,0.001236094,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 3,0.428571429,0.8,0.21,0.016069221,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 4,0.55,1.4,0.29,0.025957973,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 5,0.5,0,0.38,0.037082818,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 6,0.272727273,5.4,0.59,0.063040791,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 7,0.45,6,0.93,0.105067985,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 8,0.272727273,21,1.26,0.145859085,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 9,0.5,14.6,1.47,0.171817058,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 10,0.28,21,1.63,0.191594561,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 11,0.208333333,1.8,1.94,0.229913473,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 12,0.571428571,2.2,2.26,0.26946848,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 13,0.285714286,7,2.72,0.326328801,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 14,0.421052632,10.8,3.69,0.446229913,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 15,0.545454545,3,4.56,0.553770087,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 16,0.541666667,6.2,4.96,0.603213844,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 17,0.722222222,0,5.45,0.663782447,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 18,0.653846154,6.6,6.64,0.810877627,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 19,0.5,1.4,7.69,0.940667491,19126,15.08,1268.4,7508,497.8779841
Fergus,Fe 20,0.64,13.8,8.17,1,19126,15.08,1268.4,7508,497.8779841
Georgetown,Gt 2,0.52,7.4,0.78,0,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 3,0.384615385,14.6,0.83,0.007911392,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 1,0.285714286,13.6,0.86,0.012658228,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 4,0.260869565,10,1.05,0.042721519,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 5,0.136363636,18.4,1.27,0.077531646,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 6,0.375,12.2,1.43,0.102848101,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 7,0.391304348,0.8,1.78,0.158227848,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 8,0.352941176,0,2.17,0.219936709,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 9,0.304347826,2.8,2.5,0.272151899,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 10,0.222222222,5.2,3,0.351265823,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 11,0.173913043,17,3.3,0.398734177,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 12,0.130434783,16,3.61,0.44778481,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 13,0.285714286,5.4,3.88,0.490506329,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 14,0.227272727,6,4.41,0.574367089,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 15,0.666666667,5.2,4.8,0.636075949,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 16,0.2,7.4,5.29,0.713607595,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 17,0.541666667,19.8,5.65,0.77056962,40150,23.12,1736,13805,597.1020761
Georgetown,Gt 18,0.653846154,1.2,5.98,0.82278481,40150,23.12,1736,13805,597.1020761
