city,site,lat,long,enviro,cy,dist ,std_dist,Ho, He,Na,Ar,Fis,buildings,impervious
Fergus,20,43.75594,-80.45223,1,0.64,8.17,1,0.536,0.69,5.25,5.022,0.275,7,0.162401686
Guelph,1,43.54747,-80.24866,0,0.261,0.3,0,0.516,0.679,5.5,3.394,0.307,21,0.844285049
Guelph,2,43.5438,-80.2514,0,0.208,0.29,0,0.558,0.721,5.688,3.541,0.278,15,0.72539632
Guelph,3,43.54353,-80.25628,0,0.15,0.67,0.04,0.599,0.683,5.438,3.383,0.176,22,0.45852534
Guelph,5,43.54035,-80.26537,0,0.444,1.48,0.14,0.603,0.694,5.75,3.483,0.182,43,0.450376608
Guelph,6,43.5374,-80.26807,0,0.095,1.81,0.18,0.542,0.687,5.063,3.322,0.262,22,0.56449069
Guelph,7,43.53444,-80.27165,0,0.333,2.23,0.23,0.599,0.644,4.875,3.221,0.124,22,0.407181962
Guelph,9,43.52933,-80.27921,0,0.333,3.05,0.33,0.631,0.692,5.125,3.359,0.141,9,0.359212667
Guelph,10,43.52751,-80.2838,0,0.143,3.47,0.38,0.65,0.706,5.375,3.461,0.133,36,0.465400833
Guelph,11,43.52296,-80.28783,1,0.048,4.03,0.44,0.566,0.613,4.813,3.11,0.132,1,0.871277724
Guelph,12,43.51745,-80.295,1,0.4,4.86,0.54,0.643,0.666,5.5,3.357,0.088,1,0.099630983
Guelph,14,43.51093,-80.3039,1,0.182,5.88,0.66,0.576,0.61,4.188,2.97,0.111,3,0.152565912
Guelph,16,43.50363,-80.31398,1,0.35,7.03,0.8,0.642,0.698,5.875,3.484,0.134,0,0.076999153
Guelph,18,43.49358,-80.32445,1,0.391,8.4,0.96,0.599,0.664,5.25,3.259,0.152,0,0.075152956
Guelph,19,43.49274,-80.32912,1,0.778,8.75,1,0.551,0.648,5.313,3.228,0.203,0,0.103450702
Guelph,20,43.49601,-80.33285,1,0.4,8.74,1,0.513,0.726,5.875,3.669,0.343,0,0.057359435
PortHope,1,43.94819,-78.29395,0,0.15,1.06,0.23,0.539,0.652,4.563,4.273,0.227,5,0.649352096
PortHope,2,43.95027,-78.29348,0,0,0.99,0.21,0.538,0.62,4.5,4.094,0.184,17,0.592438295
PortHope,3,43.94861,-78.29023,0,0.4,0.73,0.14,0.53,0.624,4.688,4.365,0.211,10,0.433187876
PortHope,5,43.94949,-78.28651,0,0.1,0.42,0.05,0.56,0.673,5.063,4.637,0.221,7,0.511555762
PortHope,7,43.95205,-78.28379,0,0.4,0.29,0.01,0.513,0.63,4.688,4.235,0.238,17,0.439808721
PortHope,9,43.95137,-78.27895,0,0.2,0.24,0,0.525,0.628,5,4.48,0.215,8,0.573721676
PortHope,10,43.95211,-78.27707,0,0.3,0.41,0.05,0.488,0.631,4.313,3.979,0.277,7,0.397537173
PortHope,12,43.95361,-78.27333,0,0.2,0.75,0.14,0.514,0.66,5.25,4.65,0.273,5,0.641967308
PortHope,13,43.95396,-78.27207,0,0.15,0.85,0.17,0.549,0.65,5.063,4.636,0.209,3,0.73930646
PortHope,15,43.95511,-78.26686,0,0.35,1.29,0.29,0.578,0.622,4.875,4.435,0.123,2,0.374778019
PortHope,18,43.95985,-78.25756,1,0.35,2.2,0.54,0.573,0.572,4.125,3.821,0.052,1,0.06429859
PortHope,20,43.95939,-78.25229,1,0.25,2.55,0.64,0.547,0.639,4.875,4.366,0.196,0,0.184778869
PortHope,22,43.9605,-78.24529,1,0.6,3.13,0.8,0.569,0.667,4.875,4.437,0.199,4,0.144926475
PortHope,24,43.96166,-78.24057,1,0.368,3.54,0.91,0.527,0.651,4.688,4.221,0.241,6,0.243538867
PortHope,25,43.96255,-78.23673,1,0.35,3.85,1,0.479,0.659,4.563,4.264,0.324,0,0.08432028
Waterloo,1,43.54963,-79.66697,0,0.3,0.03,0,0.577,0.644,4.938,3.938,0.157,2,0.841403708
Waterloo,2,43.4627,-80.52433,0,0.2,0.36,0.04,0.666,0.691,5.063,4.194,0.09,4,0.809538346
Waterloo,4,43.46093,-80.53009,0,0.474,0.87,0.1,0.652,0.692,5.063,4.164,0.111,35,0.52070908
Waterloo,6,43.46039,-80.5375,0,0.588,1.45,0.17,0.656,0.689,5.438,4.319,0.101,0,0.764861967
Waterloo,9,43.45964,-80.54684,0,0.1,2.2,0.26,0.597,0.66,5,4.06,0.15,21,0.535880046
Waterloo,11,43.4565,-80.55113,0,0.316,2.63,0.31,0.613,0.677,5.25,4.176,0.149,22,0.315686978
Waterloo,13,43.45449,-80.55881,0,0.333,3.29,0.39,0.592,0.665,5.125,4.143,0.164,29,0.256366754
Waterloo,15,43.452433,-80.566139,0,0.706,3.93,0.47,0.6,0.647,5.063,4.044,0.127,20,0.38547323
Waterloo,16,43.451776,-80.570014,0,0.25,4.25,0.51,0.561,0.671,4.938,3.992,0.215,18,0.458716326
Waterloo,18,43.450573,-80.576323,0,0.1,4.77,0.57,0.573,0.678,5.563,4.298,0.207,44,0.671875701
Waterloo,23,43.440968,-80.589293,1,0.381,6.15,0.74,0.663,0.688,4.813,3.994,0.089,3,0.241119712
Waterloo,25,43.439416,-80.598,1,0.1,6.86,0.82,0.584,0.663,5.25,4.092,0.172,3,0.319519429
Waterloo,27,43.438872,-80.603794,1,0.632,7.32,0.88,0.628,0.676,4.938,4.07,0.125,1,0.123727039
Waterloo,29,43.437752,-80.611079,1,0.095,7.91,0.95,0.662,0.699,5.25,4.25,0.108,0,0.115069011
Waterloo,30,43.436995,-80.616003,1,0.05,8.31,1,0.64,0.698,5.438,4.357,0.139,5,0.190794925
